evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,feature_count,train_rows
2026-03-31,2025-08-13,2026-03-27,150,348,0.03364197396710376,0.21642688134596477,0.024411876007383752,0.19827586206896552,0.03362351552074098,0.6810344827586207,0.00199310042697352,-0.0020135000572354496,0.1,-0.0020135000572354,0.1774770180815565,-0.0244477067638396,-0.0093621197525657,014620 성광벤드,0.0308370044052863,032820 우리기술,-0.0555555555555555,55,52178
2026-04-01,2025-08-14,2026-03-30,150,348,0.0921921504688965,0.07679314826523471,0.04529229944376666,0.6609195402298851,0.03577255350496786,0.7040229885057471,0.018648888282067642,0.0939907913519102,0.1,0.0939907913519102,0.2881490148097296,0.0535894581318006,0.0437256274547297,043260 성호전자,0.2556291390728478,131970 두산테스나,0.0157946692991115,55,52179
2026-04-02,2025-08-18,2026-03-31,150,348,0.07088480905405652,0.016959919544099096,0.019144292088740893,0.7212643678160919,0.07767336418413617,0.04310344827586207,0.03961382438131358,-0.06204404170520252,0.1,-0.0620440417052025,0.2082270436123592,-0.0384497950990085,0.0035945909395111,064350 현대로템,0.0672669491525423,047040 대우건설,-0.1538857436953165,55,52180
2026-04-03,2025-08-19,2026-04-01,150,348,0.040472182247057446,0.18054771136840134,0.020690227219907,0.9568965517241379,0.034693132317893255,0.2672413793103448,0.02844810707036492,0.02558363867038957,0.1,0.0255836386703895,0.2391378877279308,0.0144927834932046,0.0181394700609489,003030 세아제강지주,0.1145374449339207,263750 펄어비스,-0.0453172205438066,55,52181
2026-04-06,2025-08-20,2026-04-02,150,348,0.061911116857540305,-0.17456105250674442,0.04954880773355015,0.5488505747126436,0.02612587263733162,0.5689655172413793,0.07365151441438074,-0.022805126276150854,0.1,-0.0228051262761508,0.2108791917247325,0.0066788259220521,0.0249394463458563,348370 엔켐,0.0744985673352436,010060 OCI홀딩스,-0.0566448801742919,55,52182
2026-04-07,2025-08-21,2026-04-03,150,348,0.028899667231107627,-0.08505296507431698,0.022186953388892594,0.5402298850574713,0.032325974450457484,0.46264367816091956,0.02013062635199197,-0.03415189901806754,0.0,-0.0341518990180675,0.1695253678458701,-0.0062826088410787,0.0185001527186736,047040 대우건설,0.0023108030040439,112610 씨에스윈드,-0.1064120054570259,55,52182
2026-04-08,2025-08-22,2026-04-06,150,348,0.07211602135051716,-0.21052379060222984,0.0508700161793549,0.9626436781609196,0.03490242753080891,0.47701149425287354,0.011173371473890751,0.07151084384623001,0.2,0.07151084384623,0.2531591138001008,0.0482492360200024,0.0676420069736054,047040 대우건설,0.2997118155619596,003030 세아제강지주,-0.0208333333333333,55,52182
2026-04-09,2025-08-25,2026-04-07,150,348,0.033683846630144856,0.12486271853100159,0.020836839374644592,0.367816091954023,0.034383044087771014,0.5948275862068966,0.01342627887248265,0.005931577704681289,0.0,0.0059315777046812,0.2605923244599357,0.0035149702688166,0.0713947368858574,082920 비츠로셀,0.0694980694980695,050890 쏠리드,-0.0582781456953642,55,52182
2026-04-10,2025-08-26,2026-04-08,150,348,0.03436451396962961,-0.02843251570045806,0.013350985354172663,0.8017241379310345,0.03204058991325796,0.5632183908045977,0.016286458107453588,0.008847744330340598,0.0,0.0088477443303406,0.271745723051547,0.0115348387876435,0.0837531024537654,006730 서부T&D,0.0641421947449767,093370 후성,-0.0578291814946618,55,52182
2026-04-13,2025-08-27,2026-04-09,150,348,0.04246655448863687,0.0063251820120920725,0.029919931273768977,0.10057471264367816,0.03197053300454913,0.6120689655172413,0.03468427612312823,0.00137478693801895,0.1,0.0013747869380189,0.2734941024600796,-0.0067848325538053,0.0764000191239495,298020 효성티앤씨,0.0818965517241379,082920 비츠로셀,-0.0353591160220994,55,52182
