date,ticker,open,high,low,close,volume,trading_value
2026-06-17,253590,13230,13740,13090,13630,263460,3590959800
2026-06-17,257720,35750,36000,34900,35050,374476,13125383800
2026-06-17,259960,237000,249500,234000,247000,129078,31882266000
2026-06-17,263750,39900,40900,39250,40250,314767,12669371750
2026-06-17,267250,272500,279000,262000,262500,133998,35174475000
2026-06-17,267260,1139000,1150000,1092000,1120000,132964,148919680000
2026-06-17,267270,162300,163500,153500,155900,430602,67130851800
2026-06-17,268280,103700,104300,100800,101400,1129,114480600
2026-06-17,271560,134000,138700,133500,135100,105022,14188472200
2026-06-17,272210,107000,109700,101200,105300,823123,86674851900
2026-06-17,272290,28500,29400,28500,29050,88575,2573103750
2026-06-17,277810,629000,630000,614000,625000,56532,35332500000
2026-06-17,278280,43500,44200,42400,43050,28341,1220080050
2026-06-17,278470,416000,422500,399500,408500,210807,86114659500
2026-06-17,280360,106600,107100,104600,104900,21847,2291750300
2026-06-17,281740,17300,17590,16590,17070,617484,10540451880
2026-06-17,282330,128200,129200,119400,120000,79135,9496200000
2026-06-17,285130,47200,47200,44700,45750,63949,2925666750
2026-06-17,290650,79600,92000,75800,86300,808543,69777260900
2026-06-17,293490,9110,9270,8870,9120,137670,1255550400
2026-06-17,295310,87000,88000,81200,81700,217885,17801204500
2026-06-17,298020,354500,360500,347500,353000,17108,6039124000
2026-06-17,298040,3900000,3923000,3802000,3855000,32163,123988365000
2026-06-17,298050,209000,209500,202000,204000,5134,1047336000
2026-06-17,298380,105700,114500,98700,108300,979364,106065121200
2026-06-17,300720,15150,15240,14500,14500,120243,1743523500
2026-06-17,302440,40350,41750,39550,41150,124996,5143585400
2026-06-17,307950,717000,719000,690000,691000,64520,44583320000
2026-06-17,310210,205500,224500,195100,215000,86766,18654690000
2026-06-17,316140,33400,33700,32150,32150,1926378,61933052700
2026-06-17,319400,35900,36550,35400,36150,621725,22475358750
2026-06-17,319660,160900,171900,158000,162400,493863,80203351200
2026-06-17,323280,51400,51500,49900,50900,197476,10051528400
2026-06-17,323410,24350,24450,23600,23650,625016,14781628400
2026-06-17,326030,90700,92400,88000,90400,145303,13135391200
2026-06-17,328130,14550,15020,14030,14710,458380,6742769800
2026-06-17,329180,702000,738000,693000,707000,340503,240735621000
2026-06-17,347850,94300,116600,92000,108100,5394527,583148368700
2026-06-17,348210,59200,61700,58500,60000,100981,6058860000
2026-06-17,348370,36550,36550,35250,35700,67680,2416176000
2026-06-17,352480,20050,22600,19800,21550,67459,1453741450
2026-06-17,352820,223000,238500,220500,235500,338430,79700265000
2026-06-17,357780,378500,409500,378500,407000,99308,40418356000
2026-06-17,358570,12340,13760,12100,13350,669848,8942470800
2026-06-17,361610,19990,19990,19200,19340,143664,2778461760
2026-06-17,373220,414000,421500,406000,416000,224023,93193568000
2026-06-17,375500,95100,95600,84300,85000,1273245,108225825000
2026-06-17,376300,23450,24650,22700,24250,69867,1694274750
2026-06-17,377300,46700,48100,45750,46300,230036,10650666800
2026-06-17,383220,80300,84000,80200,83000,113637,9431871000
2026-06-17,388720,84000,87100,83300,85600,42910,3673096000
2026-06-17,399720,56400,57000,54000,54700,64009,3501292300
2026-06-17,402340,1534000,1612000,1527000,1596000,937732,1496620272000
2026-06-17,403870,66500,70200,61400,62800,9309211,584618450800
2026-06-17,417200,17810,18270,17370,17690,690420,12213529800
2026-06-17,420770,139300,143300,137400,140700,57075,8030452500
2026-06-17,437730,52600,53000,50200,50200,114376,5741675200
2026-06-17,443060,253500,264000,244500,246500,152594,37614421000
2026-06-17,445680,61600,67700,58600,65700,200431,13168316700
2026-06-17,450080,58800,59000,56700,56700,259897,14736159900
2026-06-17,454910,107500,109300,104800,106200,483479,51345469800
2026-06-17,456040,109800,112900,102500,107700,109066,11746408200
2026-06-17,457190,92000,92000,86500,87100,133717,11646750700
2026-06-17,466100,36700,37550,35850,37100,143367,5318915700
2026-06-17,475830,65300,71000,61600,70000,193132,13519240000
2026-06-17,483650,197000,210000,195600,205500,140376,28847268000
